ANO,IBGE7,NOME,TTREVA_EF_TOTAL,TTREVA_EM_TOTAL,TXMOINF,TXBRUTAMORT,TXCOBPLP,PINTERDRSAI,REN_PIBPC_D,REN_PVAAGR,REN_PVAIND,POP_TOT
2013,1303502,Pauini,8.30,8.80,19.07,1.93,0.20,10.05,4.72,27.53,3.47,19149
2013,1303536,Presidente Figueiredo,3.20,10.30,13.79,2.58,7.59,3.03,19.51,15.09,45.56,30978
2013,1303569,Rio Preto da Eva,3.30,13.00,10.70,1.90,0.80,4.23,9.41,46.59,8.73,28999
2013,1303601,Santa Isabel do Rio Negro,18.40,9.60,39.43,2.72,0.22,4.72,4.18,26.61,3.19,20986
2013,1303700,Santo Antônio do Içá,9.50,8.60,20.83,2.51,0.30,5.02,4.34,21.09,3.44,24327
2013,1303809,São Gabriel da Cachoeira,6.60,9.80,37.62,5.94,3.24,7.61,4.36,8.32,5.09,41575
2013,1303908,São Paulo de Olivença,16.80,4.80,31.73,3.15,0.54,7.51,4.14,14.42,3.86,34963
2013,1303957,São Sebastião do Uatumã,5.00,14.80,6.25,1.32,0.23,12.88,5.10,25.57,7.49,12115
2013,1304005,Silves,3.60,14.00,28.85,2.79,0.53,23.03,7.85,39.23,4.81,8946
2013,1304062,Tabatinga,6.00,13.50,28.41,4.54,0.56,2.78,4.70,5.19,5.52,58314
2013,1304104,Tapauá,6.60,3.40,21.38,3.32,0.20,9.48,6.95,39.57,3.86,18383
2013,1304203,Tefé,4.40,11.20,19.05,3.29,2.79,3.07,7.19,25.54,7.15,62885
2013,1304237,Tonantins,7.30,7.10,15.53,1.65,0.19,22.08,4.59,17.85,3.76,18162
2013,1304260,Uarini,7.00,8.20,9.87,2.19,0.41,2.27,6.94,32.19,4.83,12801
2013,1304302,Urucará,2.70,11.80,26.49,4.09,0.61,6.11,12.37,60.24,6.03,17367
2013,1304401,Urucurituba,4.20,9.00,9.23,2.94,0.22,14.06,4.59,26.39,4.70,20091
2013,1400027,Amajari,8.50,15.30,55.37,6.23,0.13,3.00,9.66,24.06,2.93,10432
