Brasil e Município;Alfafa fenada;Algodão arbóreo (em caroço);Algodão herbáceo (em caroço);Amendoim (em casca);Banana (cacho);Batata-doce;Batata-inglesa;Cacau (em amêndoa);Café (em grão) Total;Café (em grão) Arábica;Café (em grão) Canephora;Caju;Castanha de caju;Erva-mate (folha verde);Fava (em grão);Feijão (em grão);Girassol (em grão);Guaraná (semente);Juta (fibra);Malva (fibra);Mamona (baga);Mandioca;Manga;Melancia;Melão;Milho (em grão);Noz (fruto seco);Pimenta-do-reino;Soja (em grão);Sorgo (em grão);Tomate;Trigo (em grão);Triticale (em grão);Tungue (fruto seco);Urucum (semente);Uva
Madeiro (PI);...;-;-;-;3;-;-;-;-;-;-;...;30;-;-;225;-;-;-;-;-;88;-;3;-;328;-;-;-;-;-;-;-;-;-;-
Manoel Emídio (PI);...;-;-;-;14;-;-;-;-;-;-;...;280;-;15;100;-;-;-;-;-;90;-;-;-;151;-;-;-;-;-;-;-;-;-;-
Marcolândia (PI);...;-;6;-;-;-;-;-;-;-;-;...;6;-;2;70;-;-;-;-;-;2680;-;-;-;790;-;-;-;-;-;-;-;-;-;-
Massapê do Piauí (PI);...;-;5;-;-;-;-;-;-;-;-;...;134;-;-;780;-;-;-;-;-;-;-;-;-;745;-;-;-;-;-;-;-;-;-;-
Matias Olímpio (PI);...;-;-;-;-;-;-;-;-;-;-;...;25;-;20;213;-;-;-;-;-;90;-;-;-;375;-;-;-;-;-;-;-;-;-;-
Miguel Alves (PI);...;-;-;-;10;-;-;-;-;-;-;...;75;-;-;1000;-;-;-;-;-;400;20;20;-;2492;-;-;-;-;-;-;-;-;-;-
Miguel Leão (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;23;84;-;-;-;-;-;11;-;-;-;130;-;-;-;-;-;-;-;-;-;-
Milton Brandão (PI);...;-;-;-;-;-;-;-;-;-;-;...;565;-;-;1056;-;-;-;-;-;207;-;21;-;1023;-;-;-;-;-;-;-;-;-;-
Monsenhor Gil (PI);...;-;-;-;4;-;-;-;-;-;-;...;31;-;35;231;-;-;-;-;-;27;4;50;-;471;-;-;-;-;-;-;-;-;-;-
Monsenhor Hipólito (PI);...;-;-;-;-;-;-;-;-;-;-;...;2400;-;-;4000;-;-;-;-;-;415;-;-;-;450;-;-;-;-;-;-;-;-;-;-
Monte Alegre do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;1250;-;-;-;-;-;26;-;-;-;7496;-;-;20173;-;-;-;-;-;-;-
Morro Cabeça no Tempo (PI);...;-;-;-;-;-;-;-;-;-;-;...;-;-;-;432;-;-;-;-;-;22;-;-;-;687;-;-;-;-;-;-;-;-;-;-
Morro do Chapéu do Piauí (PI);...;-;-;-;4;-;-;-;-;-;-;...;54;-;20;175;-;-;-;-;-;122;-;4;-;470;-;-;-;-;-;-;-;-;-;-
Murici dos Portelas (PI);...;-;-;-;-;-;-;-;-;-;-;...;297;-;-;567;-;-;-;-;-;273;-;-;-;365;-;-;-;-;-;-;-;-;-;-
Nazaré do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;15;-;-;80;-;-;-;-;-;14;-;-;-;260;-;-;-;-;-;-;-;-;-;-
Nazária (PI);...;-;-;-;-;-;-;-;-;-;-;...;95;-;3;150;-;-;-;-;-;45;-;11;-;233;-;-;-;-;-;-;-;-;-;-
Nossa Senhora de Nazaré (PI);...;-;-;-;-;-;-;-;-;-;-;...;84;-;-;322;-;-;-;-;-;55;-;-;-;326;-;-;-;-;-;-;-;-;-;-
Nossa Senhora dos Remédios (PI);...;-;-;-;-;-;-;-;-;-;-;...;12;-;10;107;-;-;-;-;-;100;-;-;-;380;-;-;-;-;-;-;-;-;-;-
Novo Oriente do Piauí (PI);...;-;-;-;-;-;-;-;-;-;-;...;225;-;20;200;-;-;-;-;-;4;-;-;-;918;-;-;-;-;-;-;-;-;-;-
Novo Santo Antônio (PI);...;-;-;-;-;-;-;-;-;-;-;...;3;-;-;300;-;-;-;-;-;11;-;-;-;368;-;-;-;-;-;-;-;-;-;-
